,상호명
615,오유민동태마을
616,일등한우정육식당
617,일범식당
618,임도령남원추어탕
619,정성로스
620,정자나무가든
621,중수원
622,청원골검정콩두부수제비보쌈
623,촌집
624,총체보리한우촌
625,호수가에풍경가든
626,고바우덕
627,궁뜰
628,금거북
629,꽃마름정읍중앙로점
630,남도흑염소
631,내장산명인관
632,내장산한우한돈
633,너른마당
634,다복정
635,단풍미인한우관
636,도해
637,돈페정읍점
638,두리맛감자탕정읍점
639,뚝방가든
640,라라코스트정읍수성점
641,레스토랑마리서사본점
642,만나숯불갈비
643,메이플트리레스토랑
644,명물육개장
645,명성쌈밥
646,명품짬뽕
647,명품한우정육식당
648,모란
649,박가네
650,밥보씨아전복
651,백학정
652,복돼지삼겹살
653,본가
654,불타는안창살
655,산골냉면전문점
656,산성가든
657,삼일회관
658,새암정한우
659,샘고을한우
660,석쇠
661,수궁얼큰돼지짬뽕
662,수성갈비
663,순정축협한우명품관
664,신가네정읍국밥본점
665,쌈촌정읍점
666,씨아전복분점
667,아양촌해물칼국수
668,엄마손회관뷔페
669,예가
670,오유민동태마을(정읍점)
671,옥돌생고기
672,왕대박
673,입암성원식당
674,자양식당
675,장군숯불갈비
676,정읍가족감자탕
677,정읍녹두장군(상행)휴게소
678,정읍녹두장군(하행)휴게소한식당
679,정읍한우
680,정촌
681,정통중화요리삼팔공공
682,조선별관
683,㈜대일내장산컨트리클럽
684,중화요리서울반점
685,철판위에닭갈비
686,청면옥
687,청주본가왕갈비탕정읍점
688,청해횟집수산
689,춘향골
690,토지
691,통큰낙지
692,한국관
693,행운아구찜
694,현대옥정읍점
695,화덕갈비
696,화정떡갈비
697,종가집떡갈비
698,광산나주곰탕
699,형제송정
700,궁
701,동곡꽃게장
702,일송정
703,신락원
704,황솔촌수완점
705,해궁
706,한솔
707,주식회사목우촌웰빙마을수완점
708,하남낙지마당
709,임가네일반음식점
710,황금진땡이광주본점
711,현대옥광산우산점
712,토담골
713,우가미가
714,매월농원
715,달맞이흑두부
716,금수저은수저
717,청석골칡냉면
718,깐깐한족발
719,유자골 순한우
720,중식주점진시황
721,한우일번지식육식당X규이치
722,참일능이
723,달봉이회수산
724,5시5막창팩토리
725,강원도해장국
726,궁중삼계탕
727,대어
728,목토숯불갈비
729,물참면옥
730,(유)아웃백스테이크하우스코리아삼산점
731,가무댕댕
732,고반식당 울산삼산점
733,고빈정 물회
734,군불로
735,도동참숯화로
736,물레가든
737,김미강
738,미소참치
739,생생낙지
740,소라고래집
742,신라스테이 울산 카페(cafe)
743,썸원스키친
744,어궁참가자미횟집
745,울산언양불고기
746,일식와사비
747,정자참가자미
748,정칼국수
749,진상가든
750,콩&콩리
751,할매네대구막창
752,함양집(우시산)
753,합천돼지국밥
754,사랑채
